lat,lon,nombre,timestamp,temp_c,humedad_pct,viento_kmh,prob_lluvia_pct,temp_suelo_c,humedad_suelo_pct,fuentes,errores
-17.78,-63.18,Santa Cruz de la Sierra,2026-07-25T18:30:19.229431,23.1,80.5,13.3,14.0,18.2,0.207,,0
-17.4,-62.35,Cuatro Cañadas,2026-07-25T18:30:47.964816,25.2,78.5,9.2,6.0,21.5,0.16,,0
-17.78,-62.83,San Julián,2026-07-25T18:30:53.773044,24.1,82.5,12.4,6.0,18.8,0.094,,0
-16.37,-60.96,San Ignacio de Velasco,2026-07-25T18:30:58.900580,27.4,50.5,3.9,3.0,19.6,0.161,,0
-17.23,-62.68,Okinawa Número Uno,2026-07-25T18:31:15.357590,24.5,84.0,7.5,6.0,20.9,0.171,,0
-19.02,-65.26,Sucre,2026-07-25T18:31:19.592956,18.1,23.5,5.8,1.0,6.9,0.078,,0
-17.41,-66.17,Cochabamba,2026-07-25T18:31:21.623881,25.1,8.0,5.5,4.0,9.5,0.104,,0
-17.96,-67.11,Oruro,2026-07-25T18:31:23.512264,12.9,10.5,8.8,0.0,-0.2,0.048,,0
-19.62,-65.75,Potosí,2026-07-25T18:31:34.355867,11.0,12.0,5.0,0.0,,,,0
-21.53,-64.73,Tarija,2026-07-25T18:31:51.172655,18.1,42.0,5.1,5.0,8.9,0.065,,0
-14.83,-64.9,Trinidad,2026-07-25T18:31:53.347090,29.6,64.5,5.7,7.0,20.9,0.138,,0
-11.02,-68.77,Cobija,2026-07-25T18:31:58.491447,30.3,67.5,4.0,8.0,23.2,0.216,,0
-16.5,-68.15,La Paz,2026-07-25T18:32:01.413386,11.8,29.5,5.2,6.0,-0.9,0.069,,0
-16.52,-68.17,El Alto,2026-07-25T18:32:10.771114,10.8,31.0,5.0,6.0,0.7,0.069,,0
-10.98,-66.1,Riberalta,2026-07-25T18:32:12.964219,29.6,74.0,5.3,3.0,23.2,0.153,,0
